GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projetQualyM,timer,PeriodicTimer,19,39,1,1,2,14,2,4,1,4
projetQualyM,timer,BadTimerException,0,4,0,0,0,2,0,1,0,1
projetQualyM,timer,TimeBoundedTimer,26,102,1,7,7,23,2,7,1,4
projetQualyM,timer,DateTimer,39,23,2,0,10,6,2,3,1,3
projetQualyM,timer,OneShotTimer,0,24,0,0,0,9,0,3,0,3
projetQualyM,timer,RandomTimer.randomDistribution,0,44,0,0,0,2,0,1,0,1
projetQualyM,timer,MergedTimer,2,35,2,4,1,7,2,4,0,3
projetQualyM,timer,RandomTimer,85,196,15,13,21,42,14,17,4,10
projetQualyM,action,DiscreteActionDependent,143,0,14,0,33,0,20,0,13,0
projetQualyM,action,DiscreteActionOnOffDependent,152,0,8,0,31,0,14,0,10,0
projetQualyM,action,DiscreteAction,199,0,16,0,41,0,18,0,10,0
projetQualyM,discreteBehaviorSimulator,DiscreteActionSimulator,452,0,26,0,100,0,24,0,11,0
projetQualyM,discreteBehaviorSimulator,Clock,144,0,10,0,44,0,20,0,15,0
projetQualyM,discreteBehaviorSimulator,LogFormatter,60,0,0,0,14,0,5,0,5,0
